user,depositNumber,stakingPhase,stakingPeriod,stakingStartDate,stakingEndDate,amount,reward,apy
0xB513e2ADFB16c1E6F8f92d7Ba2533826C5fd4361,7,0,7,2026-03-31T18:01:41.000Z,2026-04-07T18:01:41.000Z,"1,000,000.00","5,753.42",30
0x3aAf48118cAe0f66a8738C24D04E260728a186c7,10,0,7,2026-03-31T17:57:57.000Z,2026-04-07T17:57:57.000Z,"1,000,000.00","5,753.42",30
0x247e8465D56972b09dE579C13eD40792a09BC278,5,0,7,2026-03-30T23:03:37.000Z,2026-04-06T23:03:37.000Z,"1,000,000.00","5,753.42",30
0xfF3A58211068937E42fB2A580ccB5BA1540D6c7f,4,0,7,2026-03-30T22:53:43.000Z,2026-04-06T22:53:43.000Z,"1,000,000.00","5,753.42",30
0x5Acd7734Fa4e93854F4459F7eeeA99d7dDff8734,4,0,7,2026-03-30T08:54:06.000Z,2026-04-06T08:54:06.000Z,"388,297.00","2,234.04",30
0xee8c8371B5e72447E664a31dC8Acc32875C0a4ad,1,0,7,2026-03-29T18:41:06.000Z,2026-04-05T18:41:06.000Z,"34,511.00",198.56,30
0xbDCD9Aa0Ba209B4DB573D846d40515af9A18Dc46,0,0,7,2026-03-29T18:40:30.000Z,2026-04-05T18:40:30.000Z,"1,000,000.00","5,753.42",30
0x831094C075744fE564031F33A672D52b7CC07d23,0,0,7,2026-03-26T13:34:49.000Z,2026-04-02T13:34:49.000Z,"70,988.00",408.42,30
0x57a1BD324391ce1AC3a338CF7E1fd672CCafA46B,0,0,7,2026-03-23T11:16:33.000Z,2026-03-30T11:16:33.000Z,"1,000,000.00","5,753.42",30
0x2D959946536408f3a5447E872FC3Df00bAD85097,0,0,7,2026-03-23T07:22:19.000Z,2026-03-30T07:22:19.000Z,"32,116.00",184.78,30
0x4D307A6E63486D01B95B691fbd1ee703b07DB259,0,0,7,2026-03-20T21:20:25.000Z,2026-03-27T21:20:25.000Z,"307,559.00","1,769.52",30
0x99dD14B704c246DA813f9589E7cd53F3b8d00010,2,0,7,2026-03-16T19:04:59.000Z,2026-03-23T19:04:59.000Z,"114,000.00",655.89,30
0x6148b13D0aeED932056469587F583C389F01a04b,3,0,7,2026-03-13T06:19:35.000Z,2026-03-20T06:19:35.000Z,"1,000,000.00","5,753.42",30
0xaBd38386034C07FfbD37d87080F4deCcD7Bac245,3,0,7,2026-03-13T06:15:53.000Z,2026-03-20T06:15:53.000Z,"1,000,000.00","5,753.42",30
0x8DFcEd54D2f84a53774D0D5974f3d5e81D4A5f78,3,0,7,2026-03-13T06:12:03.000Z,2026-03-20T06:12:03.000Z,"1,000,000.00","5,753.42",30
0x0a6c8b37acfF745c89C1e9BB46F45E930ffD36fe,0,0,7,2026-03-11T12:11:45.000Z,2026-03-18T12:11:45.000Z,"212,906.00","1,224.94",30
0x4b78AFc593d70BF168c0871129524014e274C5Cf,1,0,7,2026-03-10T04:14:59.000Z,2026-03-17T04:14:59.000Z,"37,170.00",213.85,30
0x3FCf6ebeCe3aA8b5e8A44859a20cE817ff4e241c,3,0,7,2026-03-04T14:51:15.000Z,2026-03-11T14:51:15.000Z,"925,821.00","5,326.64",30
0x90Ab90bE2ce0DF9a0Bc3a75684d19BAA48E3354e,0,0,7,2026-02-07T16:41:57.000Z,2026-02-14T16:41:57.000Z,"31,723.92",182.52,30
